PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA,fatigue_flag
A.J. Lawson,TOR,0,0.0,0.0,0.0,0.0,0
Jonathan Mogbo,TOR,0,0.0,0.0,0.0,0.0,0
Collin Murray-Boyles,TOR,0,0.0,0.0,0.0,0.0,0
Chris Paul,TOR,0,0.0,0.0,0.0,0.0,0
Alperen Sengün,HOU,40,22.0,12.4,11.4,45.8,1
Kevin Durant,HOU,50,28.9,11.0,11.4,51.3,1
Jabari Smith Jr.,HOU,48,22.0,16.5,0.0,38.5,1
Reed Sheppard,HOU,34,23.4,3.8,7.6,34.8,0
Amen Thompson,HOU,55,16.5,11.4,9.5,37.4,1
Tari Eason,HOU,45,17.9,3.8,5.7,27.4,1
Clint Capela,HOU,22,5.7,9.5,0.0,15.2,0
Jae'Sean Tate,HOU,17,7.6,1.9,1.9,11.4,0
Isaiah Crawford,HOU,0,0.0,0.0,0.0,0.0,0
Jeff Green,HOU,0,0.0,0.0,0.0,0.0,0
Aaron Holiday,HOU,0,0.0,0.0,0.0,0.0,0
Steven Adams,HOU,0,0.0,0.0,0.0,0.0,0
JD Davison,HOU,0,0.0,0.0,0.0,0.0,0
Dorian Finney-Smith,HOU,0,0.0,0.0,0.0,0.0,0
Tristen Newton,HOU,0,0.0,0.0,0.0,0.0,0
Fred VanVleet,HOU,0,0.0,0.0,0.0,0.0,0
Josh Okogie,HOU,12,0.0,0.0,0.0,0.0,0
Kawhi Leonard,LAC,44,37.2,16.5,7.6,61.3,1
Bennedict Mathurin,LAC,43,22.0,5.7,5.7,33.4,1
Kris Dunn,LAC,50,22.0,3.8,11.4,37.2,1
Brook Lopez,LAC,51,20.7,1.9,5.7,28.3,1
Derrick Jones Jr.,LAC,41,16.5,1.9,5.7,24.1,1
John Collins,LAC,48,16.5,11.4,1.9,29.8,1
Kobe Sanders,LAC,12,5.7,1.9,1.9,9.5,0
Yanic Konan Niederhauser,LAC,14,0.0,5.7,0.0,5.7,0
Jordan Miller,LAC,23,7.6,5.7,0.0,13.3,0
Dalano Banton,LAC,0,0.0,0.0,0.0,0.0,0
Bogdan Bogdanović,LAC,0,0.0,0.0,0.0,0.0,0
Cam Christie,LAC,0,0.0,0.0,0.0,0.0,0
Isaiah Jackson,LAC,0,0.0,0.0,0.0,0.0,0
TyTy Washington Jr.,LAC,0,0.0,0.0,0.0,0.0,0
Nicolas Batum,LAC,0,0.0,0.0,0.0,0.0,0
Bradley Beal,LAC,0,0.0,0.0,0.0,0.0,0
Darius Garland,LAC,0,0.0,0.0,0.0,0.0,0
Bam Adebayo,MIA,50,37.2,19.3,7.6,64.1,1
Jaime Jaquez Jr.,MIA,47,31.7,11.0,7.6,50.3,1
Kel'el Ware,MIA,37,22.0,16.5,0.0,38.5,1
Myron Gardner,MIA,30,11.0,13.8,5.7,30.5,0
Simone Fontecchio,MIA,36,20.7,7.6,1.9,30.2,1
Kasparas Jakucionis,MIA,34,15.1,5.7,7.6,28.4,0
Davion Mitchell,MIA,37,12.4,1.9,9.5,23.8,1
Dru Smith,MIA,26,11.4,5.7,7.6,24.700000000000003,0
Nikola Jović,MIA,23,11.0,1.9,0.0,12.9,0
Vladislav Goldin,MIA,0,0.0,0.0,0.0,0.0,0
Keshad Johnson,MIA,0,0.0,0.0,0.0,0.0,0
Andrew Wiggins,MIA,0,0.0,0.0,0.0,0.0,0
Jahmir Young,MIA,0,0.0,0.0,0.0,0.0,0
Tyler Herro,MIA,0,0.0,0.0,0.0,0.0,0
Pelle Larsson,MIA,0,0.0,0.0,0.0,0.0,0
Norman Powell,MIA,0,0.0,0.0,0.0,0.0,0
Terry Rozier,MIA,0,0.0,0.0,0.0,0.0,0
Julius Randle,MIN,44,56.5,13.3,3.8,73.6,1
Jaden McDaniels,MIN,45,28.9,11.4,11.4,51.7,1
Rudy Gobert,MIN,37,23.4,11.0,1.9,36.3,1
Anthony Edwards,MIN,44,19.3,7.6,3.8,30.7,1
Naz Reid,MIN,32,15.1,13.3,3.8,32.2,0
Ayo Dosunmu,MIN,39,16.5,1.9,7.6,26.0,1
Donte DiVincenzo,MIN,40,5.7,7.6,9.5,22.8,1
Jaylen Clark,MIN,13,9.5,3.8,1.9,15.2,0
Julian Phillips,MIN,8,7.6,0.0,0.0,7.6,0
Bones Hyland,MIN,11,5.7,1.9,5.7,13.3,0
Joan Beringer,MIN,8,3.8,1.9,0.0,5.699999999999999,0
Enrique Freeman,MIN,6,0.0,1.9,0.0,1.9,0
Joe Ingles,MIN,6,0.0,1.9,0.0,1.9,0
Johnny Juzang,MIN,0,0.0,0.0,0.0,0.0,0
Terrence Shannon Jr.,MIN,0,0.0,0.0,0.0,0.0,0
Rocco Zikarsky,MIN,0,0.0,0.0,0.0,0.0,0
Jeremiah Fears,NO,41,17.9,13.8,11.0,42.7,1
Trey Murphy III,NO,37,26.2,7.6,11.4,45.2,1
Zion Williamson,NO,45,34.4,7.6,5.7,47.7,1
Saddiq Bey,NO,50,19.3,12.4,7.6,39.3,1
Bryce McGowens,NO,29,16.5,1.9,5.7,24.1,0
Derik Queen,NO,43,16.5,9.5,0.0,26.0,1
Kevon Looney,NO,18,11.4,12.4,0.0,23.8,0
Herbert Jones,NO,44,13.3,7.6,3.8,24.7,1
Karlo Matković,NO,18,5.7,0.0,1.9,7.6,0
Jordan Hawkins,NO,0,0.0,0.0,0.0,0.0,0
DeAndre Jordan,NO,0,0.0,0.0,0.0,0.0,0
Yves Missi,NO,0,0.0,0.0,0.0,0.0,0
Jordan Poole,NO,0,0.0,0.0,0.0,0.0,0
Trey Alexander,NO,0,0.0,0.0,0.0,0.0,0
Hunter Dickinson,NO,0,0.0,0.0,0.0,0.0,0
Dejounte Murray,NO,0,0.0,0.0,0.0,0.0,0
Micah Peavy,NO,0,0.0,0.0,0.0,0.0,0
Jrue Holiday,POR,41,31.7,9.5,9.5,50.7,1
Donovan Clingan,POR,37,11.0,12.4,1.9,25.3,1
Scoot Henderson,POR,25,24.8,7.6,3.8,36.2,0
Toumani Camara,POR,44,12.4,11.0,3.8,27.2,1
Vít Krejčí,POR,26,23.4,1.9,1.9,27.2,0
Deni Avdija,POR,36,15.1,9.5,5.7,30.3,1
Jerami Grant,POR,40,13.8,7.6,3.8,25.2,1
Blake Wesley,POR,32,7.6,7.6,11.4,26.6,0
Robert Williams III,POR,15,9.5,9.5,1.9,20.9,0
Yang Hansen,POR,8,3.8,1.9,0.0,5.699999999999999,0
Rayan Rupert,POR,12,3.8,1.9,0.0,5.699999999999999,0
Javonte Cooke,POR,8,0.0,5.7,0.0,5.7,0
Kris Murray,POR,0,0.0,0.0,0.0,0.0,0
Shaedon Sharpe,POR,0,0.0,0.0,0.0,0.0,0
Matisse Thybulle,POR,0,0.0,0.0,0.0,0.0,0
Sidy Cissoko,POR,0,0.0,0.0,0.0,0.0,0
Damian Lillard,POR,0,0.0,0.0,0.0,0.0,0
Caleb Love,POR,0,0.0,0.0,0.0,0.0,0
Nikola Jokić,DEN,45,35.8,20.7,15.1,71.6,1
Jamal Murray,DEN,45,31.7,11.4,13.3,56.400000000000006,1
Christian Braun,DEN,54,19.3,13.3,11.4,44.0,1
Tim Hardaway Jr.,DEN,37,28.9,5.7,0.0,34.6,1
Julian Strawther,DEN,34,15.1,1.9,3.8,20.8,0
Bruce Brown,DEN,40,13.8,5.7,3.8,23.3,1
Jonas Valančiūnas,DEN,19,12.4,11.4,0.0,23.8,0
Cameron Johnson,DEN,39,9.5,7.6,1.9,19.0,1
Jalen Pickett,DEN,11,5.7,1.9,0.0,7.6,0
DaRon Holmes II,DEN,0,0.0,0.0,0.0,0.0,0
Zeke Nnaji,DEN,0,0.0,0.0,0.0,0.0,0
Peyton Watson,DEN,0,0.0,0.0,0.0,0.0,0
Tamar Bates,DEN,0,0.0,0.0,0.0,0.0,0
Aaron Gordon,DEN,0,0.0,0.0,0.0,0.0,0
Curtis Jones,DEN,0,0.0,0.0,0.0,0.0,0
Spencer Jones,DEN,0,0.0,0.0,0.0,0.0,0
Ty Jerome,MEM,28,26.2,1.9,13.3,41.4,0
GG Jackson II,MEM,39,28.9,9.5,5.7,44.1,1
Olivier-Maxence Prosper,MEM,30,19.3,9.5,0.0,28.8,0
Jahmai Mashack,MEM,29,12.4,5.7,3.8,21.9,0
Jaylen Wells,MEM,33,23.4,1.9,0.0,25.3,0
Cam Spencer,MEM,29,3.8,3.8,12.4,20.0,0
Kentavious Caldwell-Pope,MEM,36,9.5,5.7,3.8,19.0,1
Kyle Anderson,MEM,25,11.0,5.7,1.9,18.6,0
Scotty Pippen Jr.,MEM,23,11.0,0.0,5.7,16.7,0
Taylor Hendricks,MEM,26,13.8,3.8,1.9,19.5,0
Lawson Lovering,MEM,23,5.7,7.6,0.0,13.3,0
Walter Clayton Jr.,MEM,0,0.0,0.0,0.0,0.0,0
Santi Aldama,MEM,0,0.0,0.0,0.0,0.0,0
Brandon Clarke,MEM,0,0.0,0.0,0.0,0.0,0
Cedric Coward,MEM,0,0.0,0.0,0.0,0.0,0
Zach Edey,MEM,0,0.0,0.0,0.0,0.0,0
Ja Morant,MEM,0,0.0,0.0,0.0,0.0,0
Javon Small,MEM,0,0.0,0.0,0.0,0.0,0
Jalen Williams,OKC,26,38.6,7.6,9.5,55.7,0
Jaylin Williams,OKC,39,15.1,11.4,9.5,36.0,1
Kenrich Williams,OKC,32,20.7,11.4,3.8,35.9,0
Isaiah Joe,OKC,25,28.9,1.9,1.9,32.7,0
Aaron Wiggins,OKC,34,16.5,5.7,3.8,26.0,0
Isaiah Hartenstein,OKC,23,11.0,7.6,11.4,30.0,0
Jared McCain,OKC,30,16.5,7.6,1.9,26.0,0
Chet Holmgren,OKC,28,17.9,7.6,3.8,29.3,0
Cason Wallace,OKC,36,7.6,7.6,5.7,20.9,1
Luguentz Dort,OKC,32,12.4,0.0,1.9,14.3,0
Buddy Boeheim,OKC,13,5.7,0.0,0.0,5.7,0
Alex Caruso,OKC,13,0.0,1.9,0.0,1.9,0
Brooks Barnhizer,OKC,0,0.0,0.0,0.0,0.0,0
Branden Carlson,OKC,0,0.0,0.0,0.0,0.0,0
Shai Gilgeous-Alexander,OKC,0,0.0,0.0,0.0,0.0,0
Ajay Mitchell,OKC,0,0.0,0.0,0.0,0.0,0
Thomas Sorber,OKC,0,0.0,0.0,0.0,0.0,0
Nikola Topić,OKC,0,0.0,0.0,0.0,0.0,0
Dillon Brooks,PHO,33,31.7,9.5,7.6,48.8,0
Jamaree Bouyea,PHO,36,15.1,5.7,11.4,32.2,1
Jordan Goodwin,PHO,37,16.5,7.6,7.6,31.700000000000003,1
Oso Ighodaro,PHO,22,11.0,7.6,3.8,22.4,0
Amir Coffey,PHO,28,12.4,9.5,3.8,25.7,0
Collin Gillespie,PHO,30,11.4,9.5,5.7,26.6,0
Royce O'Neale,PHO,32,16.5,3.8,3.8,24.1,0
Khaman Maluach,PHO,17,11.4,11.4,0.0,22.8,0
Rasheer Fleming,PHO,26,11.0,5.7,3.8,20.5,0
Ryan Dunn,PHO,30,3.8,7.6,1.9,13.3,0
Koby Brea,PHO,13,11.4,1.9,0.0,13.3,0
Mark Williams,PHO,21,11.4,1.9,0.0,13.3,0
Grayson Allen,PHO,0,0.0,0.0,0.0,0.0,0
Cole Anthony,PHO,0,0.0,0.0,0.0,0.0,0
Devin Booker,PHO,0,0.0,0.0,0.0,0.0,0
Jalen Green,PHO,0,0.0,0.0,0.0,0.0,0
Isaiah Livers,PHO,0,0.0,0.0,0.0,0.0,0
Devin Carter,SAC,40,26.2,9.5,7.6,43.3,1
Nique Clifford,SAC,52,11.4,11.0,11.4,33.8,1
DeMar DeRozan,SAC,40,27.5,5.7,1.9,35.1,1
Daeqwon Plowden,SAC,44,12.4,11.4,7.6,31.4,1
Dylan Cardwell,SAC,36,11.4,13.8,5.7,30.9,1
Maxime Raynaud,SAC,37,13.3,7.6,1.9,22.8,1
Doug McDermott,SAC,25,19.3,0.0,0.0,19.3,0
Precious Achiuwa,SAC,22,11.4,9.5,1.9,22.8,0
Isaiah Stevens,SAC,28,11.4,1.9,7.6,20.9,0
Drew Eubanks,SAC,0,0.0,0.0,0.0,0.0,0
De'Andre Hunter,SAC,0,0.0,0.0,0.0,0.0,0
Domantas Sabonis,SAC,0,0.0,0.0,0.0,0.0,0
Zach LaVine,SAC,0,0.0,0.0,0.0,0.0,0
Malik Monk,SAC,0,0.0,0.0,0.0,0.0,0
Keegan Murray,SAC,0,0.0,0.0,0.0,0.0,0
Russell Westbrook,SAC,0,0.0,0.0,0.0,0.0,0
Lauri Markkanen,UTA,28,26.2,13.3,5.7,45.2,0
Jaren Jackson Jr.,UTA,30,31.7,7.6,3.8,43.1,0
Isaiah Collier,UTA,36,16.5,1.9,19.3,37.7,1
Jusuf Nurkić,UTA,36,11.0,12.4,7.6,31.0,1
Vince Williams Jr.,UTA,29,12.4,11.0,5.7,29.1,0
Cody Williams,UTA,34,12.4,9.5,3.8,25.7,0
Ace Bailey,UTA,41,17.9,7.6,7.6,33.1,1
Brice Sensabaugh,UTA,33,26.2,3.8,0.0,30.0,0
Kevin Love,UTA,21,9.5,12.4,1.9,23.8,0
John Konchar,UTA,26,0.0,1.9,0.0,1.9,0
Kyle Filipowski,UTA,11,7.6,3.8,1.9,13.3,0
Elijah Harkless,UTA,0,0.0,0.0,0.0,0.0,0
Blake Hinson,UTA,0,0.0,0.0,0.0,0.0,0
Svi Mykhailiuk,UTA,0,0.0,0.0,0.0,0.0,0
Oscar Tshiebwe,UTA,0,0.0,0.0,0.0,0.0,0
Keyonte George,UTA,0,0.0,0.0,0.0,0.0,0
Walker Kessler,UTA,0,0.0,0.0,0.0,0.0,0
Draymond Green,GS,40,23.4,16.5,11.0,50.9,1
Gui Santos,GS,40,12.4,9.5,11.4,33.3,1
De'Anthony Melton,GS,34,23.4,5.7,13.3,42.4,0
Brandin Podziemski,GS,48,22.0,9.5,3.8,35.3,1
Moses Moody,GS,48,23.4,7.6,3.8,34.8,1
Gary Payton II,GS,19,13.8,0.0,9.5,23.3,0
Quinten Post,GS,18,16.5,5.7,3.8,26.0,0
Pat Spencer,GS,41,12.4,7.6,7.6,27.6,1
Al Horford,GS,36,11.4,7.6,1.9,20.9,1
Kristaps Porzingis,GS,0,0.0,0.0,0.0,0.0,0
Will Richard,GS,0,0.0,0.0,0.0,0.0,0
Jimmy Butler III,GS,0,0.0,0.0,0.0,0.0,0
L.J. Cryer,GS,0,0.0,0.0,0.0,0.0,0
Seth Curry,GS,0,0.0,0.0,0.0,0.0,0
Stephen Curry,GS,0,0.0,0.0,0.0,0.0,0
Malevy Leons,GS,0,0.0,0.0,0.0,0.0,0
Victor Wembanyama,SA,45,35.8,12.4,7.6,55.8,1
De'Aaron Fox,SA,44,37.2,0.0,11.0,48.2,1
Keldon Johnson,SA,40,28.9,11.4,3.8,44.1,1
Dylan Harper,SA,40,19.3,9.5,11.0,39.8,1
Harrison Barnes,SA,29,13.8,9.5,5.7,29.0,0
Carter Bryant,SA,12,11.0,9.5,1.9,22.4,0
Stephon Castle,SA,29,11.0,7.6,7.6,26.200000000000003,0
Luke Kornet,SA,21,7.6,5.7,3.8,17.1,0
Devin Vassell,SA,39,11.0,7.6,3.8,22.4,1
Julian Champagnie,SA,26,0.0,5.7,1.9,7.6,0
Bismack Biyombo,SA,0,0.0,0.0,0.0,0.0,0
Jordan McLaughlin,SA,0,0.0,0.0,0.0,0.0,0
Kelly Olynyk,SA,0,0.0,0.0,0.0,0.0,0
Harrison Ingram,SA,0,0.0,0.0,0.0,0.0,0
David Jones-Garcia,SA,0,0.0,0.0,0.0,0.0,0
Stanley Umude,SA,0,0.0,0.0,0.0,0.0,0
Lindy Waters III,SA,0,0.0,0.0,0.0,0.0,0
